orderid,category,awardswon,imdbpage,nominee,movieimage,predictionsource,movie,officialsite,prediction,slug,kpccsource,kpccinterview,predictionlink,trailer
21,Best Director,,http://www.imdb.com/name/nm0878763/?ref_=fn_al_nm_1,Morten Tyldum,http://a.scpr.org/i/5f4d86191c2259442287bb20ac5284e1/98736-full.jpg,Entertainment Weekly,The Imitation Game,,"Star Benedict Cumberbatch on Tyldum: ""He's a wonderful director who was often over-caffeinated and his English was sometimes simplified, but he always knew what he wanted.""",best-director,KPCC's Take Two,http://www.scpr.org/programs/take-two/2015/02/17/41586/the-imitation-game-director-morten-tyldum-on-his-f/,http://www.ew.com/oscars,https://www.youtube.com/watch?v=S5CjKEFb-sM
22,Best Director,"Golden Globe, BAFTA Award",http://www.imdb.com/name/nm0000500/?ref_=fn_al_nm_1,Richard Linklater,http://a.scpr.org/i/2c2f1d5fac04e5215809b20a9c5ba2ae/98738-full.jpg,KPCC,Boyhood,http://www.detourfilm.com,"<strong>THE FAVORITE</strong>: Richard Linklater picked up the Golden Globe and is seen by many as a frontrunner, but ""Birdman"" and its director have been gaining steam and pose a serious challenge.",best-director,KPCC's Take Two,http://www.scpr.org/programs/take-two/2014/07/11/38315/richard-linklater-on-the-making-of-his-indie-epic/,,https://www.youtube.com/watch?v=Y0oX0xiwOv8
23,Best Director,,http://www.imdb.com/name/nm0027572/?ref_=fn_al_nm_1,Wes Anderson,http://a.scpr.org/i/69832289275c0d2520cbd5fe9afb00df/98734-full.jpg,"KPCC, Entertainment Weekly",The Grand Budapest Hotel,,"This is Wes Anderson's first nomination for Best Director, despite a career of critically acclaimed films; Entertainment Weekly tags this as a three-way race, with Anderson in the mix with Linklater and IÃ±Ã¡rritu.",best-director,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/12/18/40807/ralph-fiennes-working-with-wes-anderson-was-a-drea/,,https://www.youtube.com/watch?v=G1jG8HUY4zI
24,Best Supporting Actor,,http://www.imdb.com/name/nm0001570/?ref_=fn_al_nm_1,Edward Norton,http://a.scpr.org/i/30ab4028e5b08b7c7cc0a5ec8032ed22/98727-full.jpg,,Birdman or (The Unexpected Virtue of Ignorance),,,best-supporting-actor,,,,https://www.youtube.com/watch?v=xwTEhzrX-n4
25,Best Supporting Actor,,http://www.imdb.com/name/nm0000160/?ref_=fn_al_nm_1,Ethan Hawke,http://a.scpr.org/i/194f285bfbe9662a3f5bed9993cccbb9/98728-full.jpg,,Boyhood,,,best-supporting-actor,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/12/14/40646/ethan-hawke-and-richard-linklater-both-surprised-b/,,https://www.youtube.com/watch?v=Y0oX0xiwOv8
26,Best Supporting Actor,"Golden Globe, SAG Award, BAFTA Award",http://www.imdb.com/name/nm0799777/?ref_=fn_al_nm_1,J.K. Simmons,http://a.scpr.org/i/f74f13363383bf1c3e6ce74a311ea8db/98724-full.jpg,KPCC,Whiplash,,"<strong>THE FAVORITE</strong>: J.K. Simmons is a strong favorite, picking up both the SAG and Golden Globe supporting actor prizes.",best-supporting-actor,,,http://www.indiewire.com/article/2015-oscar-predictions-best-supporting-actor,https://www.youtube.com/watch?v=7d_jQycdQGo
27,Best Supporting Actor,,http://www.imdb.com/name/nm0749263/?ref_=fn_al_nm_1,Mark Ruffalo,http://a.scpr.org/i/9c1b92c8194d322a3e334f548e61679b/98726-full.jpg,,Foxcatcher,,,best-supporting-actor,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/11/17/40348/how-the-foxcatcher-script-came-together-as-a-dark/,,https://www.youtube.com/watch?v=Jhkj1TVITf8
28,Best Supporting Actor,,http://www.imdb.com/name/nm0000380/?ref_=fn_al_nm_1,Robert Duvall,http://a.scpr.org/i/d49f2ce85ed625c98a3c06374cfef761/98725-full.jpg,KPCC,The Judge,,"This is seen as being a nomination largely based on affection for Duvall's long career of great work; he's a longshot, with his hopes resting on Oscar voters' respect for his past roles.",best-supporting-actor,,,,https://www.youtube.com/watch?v=ZBvK6ni97W8
29,Best Supporting Actress,,http://www.imdb.com/name/nm1297015/?ref_=fn_al_nm_1,Emma Stone,http://a.scpr.org/i/51cce3f3474f5c536428052f0e64ed91/98729-full.jpg,Entertainment Weekly,Birdman or (The Unexpected Virtue of Ignorance),,"""It's first-timers Patricia Arquette and Emma Stone in front.""",best-supporting-actress,,,http://www.ew.com/oscars,https://www.youtube.com/watch?v=xwTEhzrX-n4
30,Best Supporting Actress,,http://www.imdb.com/name/nm0461136/?ref_=fn_al_nm_1,Keira Knightley,http://a.scpr.org/i/3529c2008979fddf4ae65f6893184e30/98730-full.jpg,Entertainment Weekly,The Imitation Game,,"""Keira Knightley shines in a sea of tweedy men as the pioneering Clarke, who was briefly engaged to Turing (Benedict Cumberbatch) even though she knew he was gay.""",best-supporting-actress,,,http://www.ew.com/oscars,https://www.youtube.com/watch?v=S5CjKEFb-sM
31,Best Supporting Actress,,http://www.imdb.com/name/nm0000368/?ref_=fn_al_nm_1,Laura Dern,http://a.scpr.org/i/b52955496e055bffb0734a383a75e634/98731-full.jpg,Indiewire,Wild,,"""Dern is hugely liked by her fellow actors and could land a slot, even though she didn't earn noms from SAG or the Globes.""",best-supporting-actress,KPCC's Take Two,http://www.scpr.org/programs/take-two/2014/12/03/40586/cinematographer-yves-belanger-describes-the-challe/,http://blogs.indiewire.com/thompsononhollywood/best-supporting-actress-oscar-predictions-2015-20141216,https://www.youtube.com/watch?v=xOPl8gKdmYE
32,Best Supporting Actress,,http://www.imdb.com/name/nm0000658/?ref_=fn_al_nm_1,Meryl Streep,http://a.scpr.org/i/c136f6ae30da2a5fb12f4dbc1e1ce8d3/98733-full.jpg,"Indiewire, Entertainment Weekly",Into the Woods,,"""Actors applaud her entertaining and heart-tugging musical performance as the witch in Rob Marshall's uneven Disney adaptation of Stephen Sondheim's 'Into the Woods'; the Globe and SAG nominee is the only rival to Arquette."" Meanwhile, Entertainment Weekly has her as the longshot.",best-supporting-actress,,,http://blogs.indiewire.com/thompsononhollywood/best-supporting-actress-oscar-predictions-2015-20141216,https://www.youtube.com/watch?v=2Byk9Is3TjY
33,Best Supporting Actress,"Golden Globe, SAG Award, BAFTA Award",http://www.imdb.com/name/nm0000099/?ref_=fn_al_nm_1,Patricia Arquette,http://a.scpr.org/i/73e819288784f05ae4b45b3c654c8089/98732-full.jpg,The Guardian,Boyhood,,"<strong>THE FAVORITE</strong>: ""A well-liked industry workhorse whose decades of hard graft had hitherto met with little reward ... [she] now finds herself taking every gong in sight for her deft, disarming and finally heart-crushing work as a similarly long-suffering, taken-for-granted mother of two in Boyhood.""",best-supporting-actress,KPCC's The Frame,http://www.scpr.org/programs/the-frame/2014/12/14/40646/ethan-hawke-and-richard-linklater-both-surprised-b/,http://www.theguardian.com/film/filmblog/2015/jan/19/oscars-2015-who-will-win-the-best-supporting-actress-race,https://www.youtube.com/watch?v=Y0oX0xiwOv8
