category,year,n,turnout_eligible
Madera,2002,47.42,25.14
Marin,2002,47.55,36.52
Mariposa,2002,54.08,44.84
Mendocino,2002,47.88,35.53
Merced,2002,38.81,27.88
Modoc,2002,68.02,47.99
Mono,2002,44.95,26.2
Monterey,2002,41.04,27.77
Napa,2002,44.33,31.05
Nevada,2002,53.56,42.99
Orange,2002,41.44,30.62
Placer,2002,47.67,37.13
Plumas,2002,58.99,44.71
Riverside,2002,30.85,19.14
Sacramento,2002,38.66,27.61
San Benito,2002,36.08,28.42
San Bernardino,2002,28.72,16.75
San Diego,2002,33.22,23.91
San Francisco,2002,34.15,26.04
San Joaquin,2002,38.57,25.68
San Luis Obispo,2002,43.25,31.72
San Mateo,2002,36.61,25.66
Santa Barbara,2002,35.56,27.81
Santa Clara,2002,34.14,23.86
Santa Cruz,2002,48.84,34.84
Shasta,2002,47.53,32.58
Sierra,2002,66.25,57.04
Siskiyou,2002,53.1,40.07
Solano,2002,36.31,24.05
Sonoma,2002,52.03,37.23
Stanislaus,2002,36.87,24.68
Sutter,2002,40.42,28.63
Tehama,2002,54.91,36.37
Trinity,2002,63.75,48.84
Tulare,2002,39.11,22.73
Tuolumne,2002,48.16,40.04
Ventura,2002,33.39,26.08
Yolo,2002,46.69,30.13
Yuba,2002,43.88,26.42
"Alameda <br> 500,000 registered voters",1998,43.83,31.5
Alpine,1998,67.91,57.89
Amador,1998,63.88,51.26
Butte,1998,43.92,35.51
Calaveras,1998,60.2,46.96
Colusa,1998,55.93,37.07
Contra Costa,1998,45.2,35.14
Del Norte,1998,49.16,38.56
El Dorado,1998,52.37,40.36
Fresno,1998,42.09,28.56
Glenn,1998,66.06,43.09
Humboldt,1998,48.23,39.5
Imperial,1998,48.15,32.69
Inyo,1998,58.88,42.48
Kern,1998,36.53,25.54
Kings,1998,43.35,30.86
Lake,1998,52.34,36.43
Lassen,1998,51.48,45.06
Los Angeles,1998,38.44,27.93
Madera,1998,46.42,33.34
Marin,1998,55.57,43.02
Mariposa,1998,59.99,51.37
Mendocino,1998,51.11,39.86
Merced,1998,38.44,28.07
Modoc,1998,60.37,48.58
Mono,1998,60.01,46.15
Monterey,1998,47.76,29.36
Napa,1998,56.98,40.65
Nevada,1998,55.12,46.96
Orange,1998,42.06,28.92
Placer,1998,47.79,39.37
Plumas,1998,63.37,49.96
Riverside,1998,40.97,24.59
Sacramento,1998,47.49,34.54
San Benito,1998,49.91,38.96
San Bernardino,1998,35.97,21.65
San Diego,1998,40.74,27.52
San Francisco,1998,46.23,38.56
San Joaquin,1998,43.5,29.05
San Luis Obispo,1998,54.62,41.27
San Mateo,1998,44.83,31.43
Santa Barbara,1998,42.27,33.66
Santa Clara,1998,45.32,29.46
Santa Cruz,1998,51.33,39.59
Shasta,1998,51.25,35.06
Sierra,1998,77.81,65.78
Siskiyou,1998,56.18,42.45
Solano,1998,42.66,29.35
Sonoma,1998,49.15,37.77
Stanislaus,1998,37.44,26.07
Sutter,1998,51.6,38.22
Tehama,1998,61.56,41.56
Trinity,1998,53.3,44.96
Tulare,1998,45.5,25.8
Tuolumne,1998,55.42,48.88
Ventura,1998,38.07,31.62
Yolo,1998,52.99,38.03
Yuba,1998,49.24,30.04
"Alameda <br> 500,000 registered voters",1994,32.58,25.65
Alpine,1994,76.51,66.82
Amador,1994,59,39.61
Butte,1994,40.14,29.02
Calaveras,1994,59.09,43.29
Colusa,1994,58.09,41.02
Contra Costa,1994,35.64,28.83
Del Norte,1994,58.47,33.42
El Dorado,1994,47.96,36.37
Fresno,1994,33.59,23.39
Glenn,1994,59.88,39.24
Humboldt,1994,44.52,36.23
Imperial,1994,41.84,27.31
Inyo,1994,64.75,50.1
Kern,1994,35.36,23.36
Kings,1994,41.17,22.58
Lake,1994,54.02,35.78
Lassen,1994,50.61,27.24
Los Angeles,1994,31.78,24.42
Madera,1994,38.7,26.03
Marin,1994,45.4,37.04
Mariposa,1994,58.35,43.73
Mendocino,1994,51.29,39.24
Merced,1994,31.61,21.98
Modoc,1994,67.44,50.99
Mono,1994,65.79,51.16
Monterey,1994,36.57,25.07
Napa,1994,43.03,34.59
Nevada,1994,53.89,42.72
Orange,1994,33.57,25.08
Placer,1994,46.17,35.72
Plumas,1994,55.05,41.09
Riverside,1994,35.25,22.35
Sacramento,1994,37.04,28.56
San Benito,1994,53.01,36.6
San Bernardino,1994,27.98,19.09
San Diego,1994,36.71,27.29
San Francisco,1994,32.05,29.01
San Joaquin,1994,34.56,24.25
San Luis Obispo,1994,48.14,33.92
San Mateo,1994,35.42,26.35
Santa Barbara,1994,40.21,31.98
Santa Clara,1994,32.37,26.13
Santa Cruz,1994,43.92,37.3
Shasta,1994,41.98,29.37
Sierra,1994,67.19,61.76
Siskiyou,1994,56.37,40.52
Solano,1994,35.82,23.03
Sonoma,1994,41.17,33.27
Stanislaus,1994,33.3,22.05
Sutter,1994,43.72,32.04
Tehama,1994,54.76,36.9
Trinity,1994,60.8,47.78
Tulare,1994,36.74,22.68
Tuolumne,1994,49.45,35.23
Ventura,1994,33.55,26.08
Yolo,1994,42.03,30.71
Yuba,1994,43.34,25.72
"Alameda <br> 500,000 registered voters",1990,42.27,31.05
Alpine,1990,72.23,49.8
Amador,1990,63.49,46.04
Butte,1990,51.38,35.49
Calaveras,1990,60.7,42.88
Colusa,1990,63.29,41.63
Contra Costa,1990,46.38,36.84
Del Norte,1990,52.83,41.02
El Dorado,1990,50.32,37.68
Fresno,1990,38.56,25.8
Glenn,1990,66.92,42.83
Humboldt,1990,59.88,45.32
Imperial,1990,43.09,27.79
Inyo,1990,65.18,47.95
Kern,1990,40.09,25.89
Kings,1990,40.09,22.16
Lake,1990,57.56,35.28
Lassen,1990,62.35,32.1
Los Angeles,1990,37.71,23.27
Madera,1990,43.24,27.37
Marin,1990,51.36,40.05
Mariposa,1990,66.97,51.15
Mendocino,1990,56.73,44.81
Merced,1990,41.48,26.23
Modoc,1990,66.86,52.6
Mono,1990,54.39,37.81
Monterey,1990,45.38,30.09
Napa,1990,55.98,41.36
Nevada,1990,56.55,42.93
Orange,1990,39.91,27.66
Placer,1990,49.61,38.58
Plumas,1990,65.97,49.82
Riverside,1990,38.29,25.01
Sacramento,1990,42.81,32.97
San Benito,1990,57.39,39.69
San Bernardino,1990,34.94,21.5
San Diego,1990,39.42,28.69
San Francisco,1990,41.56,33.37
San Joaquin,1990,42.64,27.63
San Luis Obispo,1990,54.27,36.95
San Mateo,1990,42.02,30.36
Santa Barbara,1990,46.75,33.53
Santa Clara,1990,41.09,28.1
Santa Cruz,1990,47.15,34.99
Shasta,1990,56.49,38.84
Sierra,1990,71.55,59.12
Siskiyou,1990,58.98,42.37
Solano,1990,41.1,28.31
Sonoma,1990,50.39,38.8
Stanislaus,1990,43.26,26.87
Sutter,1990,64.19,41.84
Tehama,1990,56.99,39.38
Trinity,1990,59.26,43.9
Tulare,1990,46.18,28.03
Tuolumne,1990,61.5,45.41
Ventura,1990,39.9,28.29
Yolo,1990,52.88,36.78
Yuba,1990,45.26,27.45
