calendar_date,day_of_water_year
8/29/17,333
8/30/17,334
8/31/17,335
9/1/17,336
9/2/17,337
9/3/17,338
9/4/17,339
9/5/17,340
9/6/17,341
9/7/17,342
9/8/17,343
9/9/17,344
9/10/17,345
9/11/17,346
9/12/17,347
9/13/17,348
9/14/17,349
9/15/17,350
9/16/17,351
9/17/17,352
9/18/17,353
9/19/17,354
9/20/17,355
9/21/17,356
9/22/17,357
9/23/17,358
9/24/17,359
9/25/17,360
9/26/17,361
9/27/17,362
9/28/17,363
9/29/17,364
9/30/17,365
