title,date,display date,photo url,caption,body,read more url
New LAPD chief named,"November 3, 2009",Nov. 3,http://www4.pictures.zimbio.com/gi/William+Bratton+Announces+Charlie+Beck+Replacement+NV0cFZesFa8l.jpg,"Los Angeles Mayor Antonio Villaraigosa (R) speaks with Deputy LAPD Chief Charlie Beck as they enjoy coffee and chat together at Getty House; the Mayors official residence November 3, 2009 in Los Angeles, California. ",Villaraigosa appoints Charlie Beck to lead the LAPD. ,
LAX expansion,"February 22, 2010",Feb. 22,http://lax-magazine.com/wordpress/wp-content/uploads/gbphotoop.jpg,Mayor Villaraigosa and other officials break ground on the Bradley West Project.,Villaraigosa and airport officials break ground on the $1.54 billion Bradley West Project at LAX. It is considered to be the largest public works project in the history of Los Angeles. ,
"Mayor proposes a ""carbon tax""","March 15, 2010",March 15,,,"Villaraigosa proposes a ""carbon tax"" for ratepayers of the LA Department of Water and Power. The revenue would go into a ""lockbox"" for renewable energy and energy efficiency. The proposal sets off a dispute among city councilmembers and the DWP over transparency regarding the utility's rates. Later, LA voters approved the creation of an Office of Public Accountability, with a ratepayer advocate.",
Mayor injured in bike accident,"July 17, 2010",July 17,http://extras.mnginteractive.com/live/media/site200/2010/0719/20100719__do19-LuTwo.jpg,"Mayor Antonio Villaraigosa and girlfriend Lu Parker as he arrived at the South Los Angeles Animal Shelter on Monday, July 19, 2010. Local TV personality Lu Parker headed efforts to revamp the animal shelter. Her boyfriend, Mayor Antonio Villaraigosa, helped with the project and was on hand for the press conference.",The mayor breaks his elbow in a bicycle accident. ,
Villaraigosa heads national mayoral group,"June 19, 2011",June 19,,,Villaraigosa becomes chairman of the U.S. Conference of Mayors.,
Expo line opens,"April 28, 2012",April 28,http://farm8.staticflickr.com/7179/6863546188_41d5a30bdf_b.jpg,"Metro Board member Richard Katz, Los Angeles Mayor and Metro Board Chair Antonio Villaraigosa, Metro Board member and Los Angeles County Supervisor Zev Yaroslavsky and Expo Line rail car operator at Press Event on March 23, 2012.",The Metro Expo Line opens. ,
Villaraigosa claims transportation win,"July 6, 2012",July 6,http://a.scpr.org/i/c10f46ca56d5b404d7e19b4a99ac4b3a/56784-full.jpg,"President Barack Obama (C) participates in a bill signing ceremony with Villaraigosa at his side on July 6, 2012.","President Obama signs the America Fast Forward bill, an initiative pushed by Villaraigosa that will allow L.A. to fast-track transportation projects.",
Mayor chairs Democratic National Convention,"September 3, 2012",Sept. 3,http://a.scpr.org/i/77103f6821ea725196aed363457315c1/56872-full.jpg,"DNC Chair Los Angeles Mayor Antonio Villaraigosa bangs the gavel to bring the convention to order during the final day of the Democratic National Convention at Time Warner Cable Arena on September 6, 2012.",Villaraigosa chairs the Democratic National Convention. ,
"LAPD hires 10,000th officer","January 8, 2013",Jan. 8,,,"Fulfilling a Villaraigosa campaign promise, the Los Angeles Police Department passes the threshold of 10,000 officers. The milestone, however, is mostly symbolic. The goal was reached by transferring officers from the General Services Dept.. ",
Effort to synchronize traffic signals completed,"February 19, 2013",Feb. 19,,,"The mayor announces that all of the city's 4,398 traffic signals have been synchronized.",
,"February 26, 2013",Feb. 26,,,"Villaraigosa says that he will soon sign agreements to end LA's historic dependence on coal-fired power. The target date has shifted, from 2020 to 2025.",
