title,date,display date,photo url,caption,body,read more url
FAA orders helicopters out of airspace near search location,"February 7, 2013",Feb. 7,http://a.scpr.org/i/29736136834556418524d8bbabede581/54730-wide.jpg,Photo: Grant Slater/KPCC,"About 5:11 p.m. The Federal Aviation Administration orders media helicopters to leave the area around Big Bear where authorities search for accused cop killer Christopher Dorner. Law enforcement had expressed concern about helicopters showing officers' movements earlier, asking media not to show their ""tactical movements."" (L.A. Times)",http://www.scpr.org/news/2013/02/07/35875/lapd-manhunt-veteran-riverside-officer-shot-dead-2/
Riverside residents attend vigil for slain officer,"February 7, 2013",Feb. 7,http://a.scpr.org/i/404343cf801ea5fbd8ca23ab4fac3140/54738-wide.jpg,Photo: Steven Cuevas/The California Report,"Riverside police, residents and city officials gathered Thursday evening at Riverside City Hall to mourn the unidentified Riverside police officer allegedly gunned down by ex-LAPD officer Christopher Dorner. About 125 people gathered for the vigil, according to the Press-Enterprise’s Alicia Robinson. Several officers attended with black bands across their badges. (KPCC)",http://www.scpr.org/news/2013/02/07/35875/lapd-manhunt-veteran-riverside-officer-shot-dead-2/
125 law enforcement officers continue search,"February 7, 2013",Feb. 7,http://a.scpr.org/i/1b843c9313c6e0a276cfe080f71b81bd/54729-wide.jpg,Photo: Grant Slater/KPCC,"In a 5:30 p.m. news conference, San Bernardino Sheriff John McMahon says authorities will continue to search the Big Bear area of the San Bernardino Mountains as long as they can, weather permitting. McMahon told reporters that tracks were found near the vehicle and were followed, but they did not lead to the suspect. About 125 law enforcement officers were combing the area around Big Bear Lake for Dorner as a snowstorm approaches, and a three-state manhunt increasingly centered on the rural mountain community, McMahon says, adding that weather won't affect the dogs that are searching for Dorner. (KPCC & KABC)",http://www.scpr.org/news/2013/02/07/35875/lapd-manhunt-veteran-riverside-officer-shot-dead-2/
Armed police presence outside LA landmarks,"February 7, 2013",Feb. 7,"http://maps.googleapis.com/maps/api/staticmap?center=34.048499,-118.25911&zoom=13&size=300x300&maptype=roadmap&markers=color:blue%7C34.048499,-118.25911&sensor=false",Photo: Google Static Maps API,"Armed police officers stand guard outside the 7th and Metro subway station in Downtown Los Angeles, and tighter security also is evident outside LAPD headquarters. (KPCC)",http://www.scpr.org/news/2013/02/07/35875/lapd-manhunt-veteran-riverside-officer-shot-dead-2/
Anderson Cooper reveals Dorner contacted him,"February 7, 2013",Feb. 7,http://a.scpr.org/i/ef2e78911a76f0eb41577af5050ef927/22610-wide.jpg,Jemal Countess/Getty Images for AWRT,"About 8 p.m. CNN anchor Anderson Cooper announces via Twitter that his show received a package from Dorner on Feb. 1st, though he was unaware of it. The package contained a note, a DVD and a medal that had been pierced by a bullet. (Twitter)",http://latimesblogs.latimes.com/lanow/2013/02/former-cop-seeks-vindication-in-package-sent-to-anderson-cooper.html
No evidence of Dorner near Big Bear; search continues,"February 7, 2013",Feb. 7,http://a.scpr.org/i/cf7f82ae54602847af46a843e07b84fb/54753-wide.jpg,Photo: Grant Slater/KPCC,"As of 9 p.m. a canvass by San Bernardino County sheriff's deputies and other law enforcement officers of more than half of an expected 400 homes in Big Bear hadn't turned up evidence of Dorner's whereabouts. Speaking at a press briefing, San Bernardino County Sheriff's Department spokeswoman Cindy Bachman tells reporters that schools in the Bear Valley Unified School District are expected to be in session Friday morning, and the local ski resort would reopen for business as well. (KPCC)",http://www.scpr.org/news/2013/02/07/35875/lapd-manhunt-veteran-riverside-officer-shot-dead-2/
Hoax ties up San Diego officers,"February 8, 2013",Feb. 8,,,"Between 1:30 and 2:30 a.m., up to 16 San Diego County sheriff's deputies surround a rural home after a hoaxer reported Dorner was there. Investigators have a pretty good idea who made the call and could seek criminal charges. (AP)",http://m.apnews.com/ap/db_289563/contentdetail.htm?contentguid=tU41NuDW
LAPD cancels tactical alert,"February 8, 2013",Feb. 8,,,"LAPD officials say they have canceled a tactical alert at about 7:30 a.m., though they ""remain vigilant."" (KNX1070)",https://twitter.com/KNXJonathan/status/299917087181271042
Authorities update media on search efforts,"February 8, 2013",Feb. 8,http://a.scpr.org/i/e351ed9e9f5f33bd42fc92a2c3e818d9/54775-wide.jpg,Photo: Grant Slater/KPCC,"During a Friday morning news conference San Bernardino Sheriff John McMahon says there is no evidence that Dorner has come down into the Big Bear community, that a pickup truck belonging to Dorner is being processed in Riverside, that officers plan a multi-agency search of cabins near Big Bear ,and weather conditions prevent the use of helicopters in the search. (KPCC)",http://www.scpr.org/news/2013/02/08/35879/lapd-manhunt-police-scour-big-bear-mountains-for-e/
Former LAPD chief Bill Bratton speaks to KPCC's Alex Cohen and A Martinez,"February 8, 2013",Feb. 8,http://a.scpr.org/i/1f19c473f6991c7a1681a984e4a83998/54657-wide.jpg,Photo: LAPD,"Former LAPD Chief Bill Bratton tells TakeTwo's Alex Cohen and A Martinez that he won't speak to whether he is under protection after Dorner mailed CNN his manifesto — which references Bratton — and a ceremonial coin with Bratton's name on it and three bullet holes in it. Bratton goes on to say the LAPD has ""most strenuous screening procedures of any police department in the nation,"" and that after an individual is discharged from the department in the way Dorner was, there would not typically be follow up. (KPCC)",http://www.scpr.org/programs/take-two/2013/02/08/30439/former-lapd-chief-bill-bratton-on-fugitive-christo
Agents complete search of Dorner's Las Vegas home,"February 8, 2013",Feb. 8,"http://maps.googleapis.com/maps/api/staticmap?center=36.157835,-115.169678&zoom=9&size=300x300&maptype=roadmap&markers=color:blue%7C36.157835,-115.169678&sensor=false",Photo: Google Static Maps API,"A search of Dorner's Las Vegas home didn't turn up any weapons, the FBI says. FBI Agent Patrick Turner adds that other items found after SWAT teams served a warrant Thursday at the two-story home about nine miles southwest of the Las Vegas Strip will be used to help in the manhunt for Dorner. (AP)",
Another false alarm in San Diego,"February 8, 2013",Feb. 8,"http://maps.googleapis.com/maps/api/staticmap?center=32.713861,-117.162387&zoom=11&size=300x300&maptype=roadmap&markers=color:blue%7C32.713861,-117.162387&sensor=false",Photo: Google Static Maps API,"San Diego authorities search the Westfield Horton Plaza about 10 a.m. after receiving a tip that Dorner was spotted in the vicinity. Previous evidence suggests Dorner had spent parts of Tuesday, Wednesday and Thursday in San Diego. KNSD reports: ""The man at the focus of the tip had been working out at the gym when an off-duty officer called in the lead, according to one 24 Hour Fitness employee. The misidentified man was in the locker room when he was approached by federal agents and police officers and was “not compliant,” according to Lt. Joseph Ramos."" (KNSD)",http://www.nbcsandiego.com/news/local/Chris-Dorner-Horton-Plaza-Downtown-San-Diego-Sighting-190399431.html?_osource=SocialFlowTwt_SDBrand
L.A. correctional facility on lockdown,"February 8, 2013",Feb. 8,http://a.scpr.org/i/45de40f6e5a1b9795eea863b7e4546b0/54841-wide.jpg,Photo: Christopher Okula/KPCC,"L.A. County Sheriff’s officials lock down Men’s Central Jail and the Twin Towers Jail in downtown around 8:45 a.m. after an employee thought she saw Dorner entering one of the facilities. “Out of preponderance of caution, the jails and nearby courts were shut down,” Sheriff’s spokesman Steve Whitmore said. Dozens of deputies swarmed the area and searched the massive complex. (KPCC/KCAL-TV/KNX1070)",http://losangeles.cbslocal.com/2013/02/08/twin-towers-jail-facility-on-lockdown-after-employee/
