carrier_id,carrier_name,carrier_location,county,details_url
PSG0024631,Sr Limousine Services,"Suisun, CA",Solano,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0024631' target='_blank'>Read more</a>
PSG0021867,Bliss Limousine Service Inc,"Sun City, CA",Riverside,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0021867' target='_blank'>Read more</a>
PSG0026713,Alegro Limousine Co,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0026713' target='_blank'>Read more</a>
PSG0029343,Classic Star Limo,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029343' target='_blank'>Read more</a>
PSG0024859,Daniels Transportation Llc,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0024859' target='_blank'>Read more</a>
PSG0030409,Emar Transportation,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0030409' target='_blank'>Read more</a>
PSG0027897,Evolve Executive Car Service Llc,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0027897' target='_blank'>Read more</a>
PSG0029381,Grey Fox Limousine Service,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029381' target='_blank'>Read more</a>
PSG0009787,One Dream Limousine Service,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0009787' target='_blank'>Read more</a>
PSG0029966,Quality Transportation Services,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0029966' target='_blank'>Read more</a>
PSG0016009,Rt Reliable Transportation,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0016009' target='_blank'>Read more</a>
PSG0030254,Supershuttle,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0030254' target='_blank'>Read more</a>
PSG0009224,Supershuttle Of San Fernando Valley,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0009224' target='_blank'>Read more</a>
PSG0007287,Transit Systems Unltd Inc,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0007287' target='_blank'>Read more</a>
PSG0026195,Yellow Bus Transportation Services,"Sun Valley, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0026195' target='_blank'>Read more</a>
PSG0016198,American Alliance Limousine Service,"Sunland, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0016198' target='_blank'>Read more</a>
PSG0020845,Gama Inc,"Sunland, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0020845' target='_blank'>Read more</a>
PSG0027688,N. Azarian,"Sunland, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0027688' target='_blank'>Read more</a>
PSG0030338,Tmt Limousine Services,"Sunland, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0030338' target='_blank'>Read more</a>
PSG0027156,Town Car & Limousine Service,"Sunland, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0027156' target='_blank'>Read more</a>
PSG0028707,Zack Express Service,"Sunland, CA",Los Angeles,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0028707' target='_blank'>Read more</a>
PSG0021755,A 24/7 Black Limo Service,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0021755' target='_blank'>Read more</a>
PSG0028545,A Style Limousine Service,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0028545' target='_blank'>Read more</a>
PSG0027325,A1 Affordable Limo,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0027325' target='_blank'>Read more</a>
PSG0026666,Accelar,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0026666' target='_blank'>Read more</a>
PSG0019100,Advanced 101 Limousine Inc,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0019100' target='_blank'>Read more</a>
PSG0026250,Air Limousine,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0026250' target='_blank'>Read more</a>
PSG0018749,All Cities Advanced Limousine Inc,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0018749' target='_blank'>Read more</a>
PSG0020405,Andrew Limousine,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0020405' target='_blank'>Read more</a>
PSG0019782,Asap 2 U,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0019782' target='_blank'>Read more</a>
PSG0017587,Atlimousine Service,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0017587' target='_blank'>Read more</a>
PSG0019514,Avon Airport Limousine Service,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0019514' target='_blank'>Read more</a>
PSG0028271,Avon Airport Limousine Service,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0028271' target='_blank'>Read more</a>
PSG0020779,Bay Limousine And Tour,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0020779' target='_blank'>Read more</a>
PSG0028614,Big Ben Transportation,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0028614' target='_blank'>Read more</a>
PSG0025118,Blue Diamond Limo,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0025118' target='_blank'>Read more</a>
PSG0025188,Bon Voyage Limousines,"Sunnyvale, CA",Santa Clara,<a href='https://delaps1.cpuc.ca.gov/pls/public_cpuc/f?p=203:37:631587391913201::NO::P37_CARRIER_ID:PSG0025188' target='_blank'>Read more</a>
